file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,276,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,0
style.css,277,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,43
style.css,278,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,18
style.css,279,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,13
style.css,280,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,56
style.css,281,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,13
style.css,282,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,10
style.css,283,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,9
style.css,284,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,0
style.css,285,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,0
style.css,286,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,26
style.css,287,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,18
style.css,288,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,17
style.css,289,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,57
style.css,290,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,17
style.css,291,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,0
style.css,292,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,0
style.css,293,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,26
style.css,294,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,18
